# of digits in pi, 0s, 1s, 2s, 3s, 4s, 5s, 6s, 7s, 8s, 9s
1000,93,116,103,103,93,97,94,95,101,106
percentages,7.0,16.0,3.0,3.0,7.0,3.0,6.0,5.0,1.0,6.0
2000,182,212,207,189,195,205,200,197,202,212
percentages,9.0,6.0,3.5,5.5,2.5,2.5,0.0,1.5,1.0,6.0
3000,259,309,303,266,318,315,302,287,310,332
percentages,13.6666666667,3.0,1.0,11.3333333333,6.0,5.0,0.666666666667,4.33333333333,3.33333333333,10.6666666667
4000,362,429,408,369,405,417,398,377,405,431
percentages,9.5,7.25,2.0,7.75,1.25,4.25,0.5,5.75,1.25,7.75
5000,466,532,496,460,508,525,513,488,492,521
percentages,6.8,6.4,0.8,8.0,1.6,5.0,2.6,2.4,1.6,4.2
6000,557,626,594,573,613,622,619,606,582,609
percentages,7.16666666667,4.33333333333,1.0,4.5,2.16666666667,3.66666666667,3.16666666667,1.0,3.0,1.5
7000,657,733,692,687,702,730,708,694,680,718
percentages,6.14285714286,4.71428571429,1.14285714286,1.85714285714,0.285714285714,4.28571428571,1.14285714286,0.857142857143,2.85714285714,2.57142857143
8000,754,833,811,782,809,834,816,786,764,812
percentages,5.75,4.125,1.375,2.25,1.125,4.25,2.0,1.75,4.5,1.5
9000,855,936,911,885,910,933,914,883,854,920
percentages,5.0,4.0,1.22222222222,1.66666666667,1.11111111111,3.66666666667,1.55555555556,1.88888888889,5.11111111111,2.22222222222
10000,968,1026,1021,975,1012,1046,1021,970,948,1014
percentages,3.2,2.6,2.1,2.5,1.2,4.6,2.1,3.0,5.2,1.4
